,SPY,IWM,VTV,VUG,MTUM,USMV,QUAL,VYM,SPHQ,VLUE,PDP
2015-10-26,207.0,115.0599975585938,82.5999984741211,108.3000030517578,72.51000213623047,42.02999877929688,65.47000122070312,67.81999969482422,23.45000076293945,64.2699966430664,42.2599983215332
2015-10-27,206.6000061035156,113.8000030517578,82.3499984741211,108.129997253418,72.76000213623047,41.97000122070312,65.33000183105469,67.55000305175781,23.30999946594238,63.88000106811523,42.18999862670898
2015-10-28,208.9499969482422,117.120002746582,83.44999694824219,109.2600021362305,73.3499984741211,42.20999908447266,65.9800033569336,68.29000091552734,23.46999931335449,64.9000015258789,42.72999954223633
2015-10-29,208.8300018310547,115.870002746582,83.12999725341797,109.6100006103516,73.47000122070312,42.20999908447266,65.93000030517578,68.0999984741211,23.53000068664551,64.55999755859375,42.81999969482422
2015-10-30,207.9299926757812,115.3399963378906,82.62000274658203,109.2900009155273,73.19999694824219,41.95999908447266,65.68000030517578,67.91999816894531,23.43000030517578,64.33999633789062,42.79000091552734
2015-11-02,210.3899993896484,117.7399978637695,83.68000030517578,110.5899963378906,73.56999969482422,42.34000015258789,66.31999969482422,68.66000366210938,23.64999961853027,65.16999816894531,43.18999862670898
2015-11-03,211.0,118.3499984741211,83.86000061035156,110.8099975585938,73.41999816894531,42.29999923706055,66.63999938964844,68.86000061035156,23.65999984741211,65.25,43.06000137329102
2015-11-04,210.3600006103516,118.2900009155273,83.5999984741211,110.6500015258789,73.44000244140625,42.20000076293945,66.44000244140625,68.68000030517578,23.61000061035156,64.83999633789062,42.90999984741211
2015-11-05,210.1499938964844,118.379997253418,83.48999786376953,110.4000015258789,73.93000030517578,42.13000106811523,66.1500015258789,68.47000122070312,23.64999961853027,64.83000183105469,42.93999862670898
2015-11-06,210.0399932861328,119.2200012207031,83.55000305175781,110.2900009155273,73.47000122070312,41.79000091552734,66.16999816894531,68.3499984741211,23.48999977111816,65.0199966430664,42.93000030517578
2015-11-09,208.0800018310547,117.8199996948242,82.76000213623047,109.2399978637695,72.80999755859375,41.4900016784668,65.44000244140625,67.66999816894531,23.34000015258789,64.30000305175781,42.38999938964844
2015-11-10,208.5599975585938,118.1699981689453,82.9800033569336,109.3099975585938,73.31999969482422,41.68999862670898,65.58000183105469,67.81999969482422,23.39999961853027,64.48999786376953,42.56000137329102
2015-11-11,207.7400054931641,117.1399993896484,82.70999908447266,108.9100036621094,73.22000122070312,41.68000030517578,65.41999816894531,67.7699966430664,23.35000038146973,64.05000305175781,42.38000106811523
2015-11-12,204.8399963378906,114.9000015258789,81.43000030517578,107.5500030517578,72.2300033569336,41.18999862670898,64.51000213623047,66.79000091552734,23.0,63.27999877929688,41.63000106811523
2015-11-13,202.5399932861328,114.0699996948242,80.8499984741211,105.9599990844727,71.05000305175781,40.81999969482422,63.72999954223633,66.29000091552734,22.76000022888184,62.31000137329102,41.15000152587891
2015-11-16,205.6199951171875,115.0500030517578,82.1500015258789,107.3899993896484,71.97000122070312,41.41999816894531,64.69999694824219,67.30999755859375,23.1200008392334,63.04000091552734,41.54000091552734
2015-11-17,205.4700012207031,114.6100006103516,81.9800033569336,107.4700012207031,72.26000213623047,41.36999893188477,64.72000122070312,67.12000274658203,23.14999961853027,62.95000076293945,41.52000045776367
2015-11-18,208.7299957275391,116.5500030517578,83.18000030517578,109.3000030517578,73.5,41.84999847412109,65.7300033569336,67.95999908447266,23.46999931335449,64.0,42.22999954223633
2015-11-19,208.5500030517578,116.0599975585938,83.11000061035156,109.2300033569336,73.05000305175781,41.86000061035156,65.75,68.11000061035156,23.5,63.75,42.25
2015-11-20,209.3099975585938,116.8099975585938,83.16999816894531,110.0100021362305,73.7699966430664,41.97000122070312,66.06999969482422,68.16000366210938,23.68000030517578,63.84999847412109,42.5
2015-11-23,209.0700073242188,117.3899993896484,83.0199966430664,109.8899993896484,73.93000030517578,41.97000122070312,66.13999938964844,68.08000183105469,23.67000007629395,63.79999923706055,42.59999847412109
2015-11-24,209.3500061035156,118.25,83.25,109.9499969482422,73.8499984741211,41.97999954223633,66.18000030517578,68.30999755859375,23.70000076293945,63.97000122070312,42.59999847412109
2015-11-25,209.3200073242188,119.1699981689453,83.1500015258789,110.1600036621094,74.0999984741211,41.9900016784668,66.2300033569336,68.18000030517578,23.76000022888184,63.97999954223633,42.7599983215332
2015-11-27,209.5599975585938,119.620002746582,83.26000213623047,110.2099990844727,74.26000213623047,42.06999969482422,66.30999755859375,68.26000213623047,23.78000068664551,64.02999877929688,42.84000015258789
2015-11-30,208.6900024414062,119.0999984741211,83.06999969482422,109.4499969482422,73.58999633789062,41.86999893188477,65.97000122070312,68.06999969482422,23.64999961853027,63.90000152587891,42.5099983215332
2015-12-01,210.6799926757812,119.8899993896484,83.95999908447266,110.4800033569336,74.44000244140625,42.31999969482422,66.41000366210938,68.66999816894531,23.79000091552734,64.47000122070312,42.77999877929688
2015-12-02,208.5299987792969,118.5999984741211,82.97000122070312,109.4599990844727,74.05000305175781,41.91999816894531,65.88999938964844,67.9000015258789,23.54000091552734,63.86000061035156,42.5099983215332
2015-12-03,205.6100006103516,116.5999984741211,81.8499984741211,107.7200012207031,72.83999633789062,41.36999893188477,64.9000015258789,67.04000091552734,23.27000045776367,62.93000030517578,41.83000183105469
2015-12-04,209.6199951171875,117.7799987792969,83.44999694824219,109.8099975585938,74.44000244140625,42.20000076293945,66.3499984741211,68.2300033569336,23.68000030517578,64.12000274658203,42.63000106811523
2015-12-07,208.3500061035156,116.0100021362305,82.91000366210938,109.0899963378906,74.12999725341797,42.13000106811523,66.01000213623047,67.77999877929688,23.6200008392334,63.61999893188477,42.41999816894531
2015-12-08,206.9499969482422,115.370002746582,82.08000183105469,108.870002746582,74.20999908447266,42.04000091552734,65.62999725341797,67.16000366210938,23.45000076293945,62.88000106811523,42.40000152587891
2015-12-09,205.3399963378906,114.0800018310547,81.73999786376953,107.5899963378906,73.16999816894531,41.68000030517578,65.04000091552734,66.97000122070312,23.30999946594238,62.47000122070312,41.90999984741211
2015-12-10,205.8699951171875,114.4599990844727,81.91999816894531,107.8899993896484,73.2300033569336,41.65999984741211,65.23999786376953,67.06999969482422,23.30999946594238,63.27999877929688,41.9900016784668
2015-12-11,201.8800048828125,111.9100036621094,80.4000015258789,105.5800018310547,71.97000122070312,41.15999984741211,63.93999862670898,65.91000366210938,23.02000045776367,61.63999938964844,41.20999908447266
2015-12-14,202.8999938964844,111.1100006103516,80.79000091552734,106.1500015258789,72.72000122070312,41.45000076293945,64.37000274658203,66.30999755859375,23.10000038146973,61.34999847412109,41.36000061035156
2015-12-15,205.0299987792969,112.7099990844727,81.9000015258789,106.879997253418,73.1500015258789,41.79999923706055,64.95999908447266,67.12999725341797,23.26000022888184,62.43999862670898,41.54999923706055
2015-12-16,208.0299987792969,114.4300003051758,83.0999984741211,108.4400024414062,74.30000305175781,42.40000152587891,65.77999877929688,68.06999969482422,23.60000038146973,63.31999969482422,42.09000015258789
2015-12-17,204.8600006103516,113.2099990844727,81.91000366210938,106.379997253418,73.44999694824219,41.97000122070312,64.86000061035156,67.16000366210938,23.28000068664551,62.25,41.56999969482422
2015-12-18,200.0200042724609,111.4800033569336,80.47000122070312,104.4899978637695,72.33000183105469,41.36999893188477,63.65999984741211,66.01000213623047,22.68000030517578,61.52000045776367,40.95000076293945
2015-12-21,201.6699981689453,112.3199996948242,80.48999786376953,105.2900009155273,72.97000122070312,41.65000152587891,64.22000122070312,65.83999633789062,22.85000038146973,61.79000091552734,41.18000030517578
2015-12-22,203.5,113.3499984741211,81.37999725341797,106.0999984741211,73.38999938964844,41.97000122070312,64.76000213623047,66.54000091552734,23.10000038146973,62.45000076293945,41.40999984741211
2015-12-23,206.0200042724609,114.7799987792969,82.55000305175781,107.1600036621094,73.83000183105469,42.36999893188477,65.51000213623047,67.54000091552734,23.36000061035156,63.43000030517578,41.7599983215332
2015-12-24,205.6799926757812,114.5,82.4000015258789,107.0299987792969,73.44999694824219,42.06999969482422,65.16999816894531,67.3499984741211,23.32999992370605,63.0099983215332,41.65000152587891
2015-12-28,205.2100067138672,113.9700012207031,82.11000061035156,106.9800033569336,73.63999938964844,42.09000015258789,65.01000213623047,67.18000030517578,23.29999923706055,62.41999816894531,41.70999908447266
2015-12-29,207.3999938964844,115.1999969482422,82.87000274658203,108.1900024414062,74.52999877929688,42.43999862670898,65.69999694824219,67.81999969482422,23.5,63.15999984741211,42.09999847412109
2015-12-30,205.9299926757812,114.0400009155273,82.29000091552734,107.4400024414062,74.12999725341797,42.2599983215332,65.26000213623047,67.41000366210938,23.36000061035156,62.61000061035156,41.84000015258789
2015-12-31,203.8699951171875,112.620002746582,81.5199966430664,106.3899993896484,73.29000091552734,41.81999969482422,64.56999969482422,66.75,23.1299991607666,62.2400016784668,41.36999893188477
2016-01-04,201.0200042724609,110.0100021362305,80.52999877929688,104.5699996948242,71.80999755859375,41.29999923706055,63.61999893188477,65.94999694824219,22.8799991607666,61.18000030517578,40.47000122070312
2016-01-05,201.3600006103516,110.25,80.79000091552734,104.5899963378906,72.1500015258789,41.58000183105469,63.79000091552734,66.27999877929688,22.96999931335449,61.27999877929688,40.59000015258789
2016-01-06,198.8200073242188,108.5699996948242,79.63999938964844,103.4400024414062,71.7699966430664,41.31999969482422,63.02999877929688,65.41000366210938,22.69000053405762,60.15999984741211,40.13000106811523
2016-01-07,194.0500030517578,105.6699981689453,77.77999877929688,100.7799987792969,70.16999816894531,40.65000152587891,61.52999877929688,64.0,22.30999946594238,58.86000061035156,39.16999816894531
2016-01-08,191.9199981689453,103.8499984741211,76.86000061035156,99.83999633789062,69.5,40.2400016784668,60.83000183105469,63.27999877929688,22.03000068664551,58.22000122070312,38.72000122070312
2016-01-11,192.1100006103516,103.4000015258789,76.80999755859375,99.94000244140625,69.91999816894531,40.29999923706055,60.91999816894531,63.34999847412109,22.01000022888184,57.86000061035156,38.61000061035156
2016-01-12,193.6600036621094,103.7099990844727,77.27999877929688,100.8600006103516,70.66999816894531,40.5099983215332,61.54000091552734,63.68999862670898,22.22999954223633,58.27999877929688,39.04999923706055
2016-01-13,188.8300018310547,100.379997253418,75.66999816894531,97.8499984741211,68.48999786376953,39.86999893188477,60.15000152587891,62.5,21.77000045776367,56.7599983215332,37.88999938964844
2016-01-14,191.9299926757812,101.7699966430664,76.9000015258789,99.36000061035156,69.26000213623047,40.27999877929688,61.04999923706055,63.63999938964844,22.0,57.31999969482422,38.34000015258789
2016-01-15,187.8099975585938,100.120002746582,75.23999786376953,97.33000183105469,67.94999694824219,39.7599983215332,59.84999847412109,62.40999984741211,21.71999931335449,55.83000183105469,37.7400016784668
2016-01-19,188.0599975585938,98.7699966430664,75.25,97.33999633789062,68.43000030517578,40.02999877929688,59.91999816894531,62.40000152587891,21.76000022888184,55.34999847412109,37.75
2016-01-20,185.6499938964844,99.18000030517578,74.0999984741211,96.61000061035156,67.79000091552734,39.40999984741211,59.18000030517578,61.5099983215332,21.54999923706055,54.75,37.68000030517578
2016-01-21,186.6900024414062,98.94999694824219,74.44000244140625,97.08000183105469,68.0199966430664,39.52999877929688,59.43999862670898,61.91999816894531,21.64999961853027,54.9900016784668,37.58000183105469
2016-01-22,190.5200042724609,101.370002746582,75.76000213623047,99.41000366210938,69.36000061035156,40.27999877929688,60.72999954223633,63.08000183105469,21.97999954223633,55.88000106811523,38.47000122070312
2016-01-25,187.6399993896484,99.12000274658203,74.44000244140625,98.08999633789062,68.62000274658203,39.93999862670898,59.79999923706055,62.18999862670898,21.70000076293945,54.84000015258789,37.83000183105469
2016-01-26,190.1999969482422,101.0999984741211,75.72000122070312,99.0999984741211,69.22000122070312,40.45999908447266,60.68999862670898,63.22999954223633,22.03000068664551,55.81999969482422,38.22000122070312
2016-01-27,188.1300048828125,99.70999908447266,75.33000183105469,97.33999633789062,68.19000244140625,40.22999954223633,59.93000030517578,62.90999984741211,21.90999984741211,55.61000061035156,37.61999893188477
2016-01-28,189.1100006103516,99.69000244140625,75.6500015258789,97.86000061035156,69.18000030517578,40.27999877929688,60.13999938964844,63.33000183105469,22.09000015258789,55.4900016784668,37.56000137329102
2016-01-29,193.7200012207031,102.9599990844727,77.63999938964844,100.0,70.5,41.2400016784668,61.59000015258789,64.87000274658203,22.65999984741211,56.84000015258789,38.36999893188477
2016-02-01,193.6499938964844,102.4899978637695,77.51000213623047,100.2399978637695,70.87999725341797,41.38999938964844,61.63999938964844,64.70999908447266,22.69000053405762,57.25,38.56999969482422
2016-02-02,190.1600036621094,100.2799987792969,75.9800033569336,98.4800033569336,69.87000274658203,40.95999908447266,60.61000061035156,63.65999984741211,22.42000007629395,55.5099983215332,37.84000015258789
2016-02-03,191.3000030517578,100.4100036621094,76.5999984741211,98.72000122070312,69.13999938964844,41.06000137329102,61.04999923706055,64.30000305175781,22.57999992370605,55.86000061035156,37.93000030517578
2016-02-04,191.6000061035156,100.8000030517578,76.8499984741211,98.80000305175781,68.44000244140625,40.93999862670898,61.16999816894531,64.4000015258789,22.64999961853027,56.15000152587891,37.83000183105469
2016-02-05,187.9499969482422,98.04000091552734,76.0,95.8499984741211,66.38999938964844,40.45999908447266,60.06000137329102,63.75,22.44000053405762,55.52999877929688,36.77999877929688
2016-02-08,185.4199981689453,96.43000030517578,75.18000030517578,93.98999786376953,64.87999725341797,40.09000015258789,59.43999862670898,63.45000076293945,22.28000068664551,54.61000061035156,35.93000030517578
2016-02-09,185.4299926757812,95.77999877929688,75.08999633789062,94.02999877929688,65.2300033569336,40.09999847412109,59.59000015258789,63.38000106811523,22.35000038146973,54.45000076293945,36.06999969482422
2016-02-10,185.2700042724609,95.83000183105469,74.9000015258789,94.37999725341797,65.94000244140625,40.20000076293945,59.65999984741211,63.11000061035156,22.27000045776367,54.40000152587891,36.38999938964844
2016-02-11,182.8600006103516,94.79000091552734,73.66999816894531,93.55000305175781,65.43000030517578,39.84000015258789,58.93000030517578,62.33000183105469,21.98999977111816,53.54000091552734,36.11999893188477
2016-02-12,186.6300048828125,96.58999633789062,75.31999969482422,95.19000244140625,66.31999969482422,40.38999938964844,59.97000122070312,63.56000137329102,22.35000038146973,54.95999908447266,36.83000183105469
2016-02-16,189.7799987792969,98.87999725341797,76.4800033569336,97.04000091552734,67.45999908447266,40.88000106811523,60.93000030517578,64.4800033569336,22.70000076293945,56.22999954223633,37.59999847412109
2016-02-17,192.8800048828125,100.4300003051758,77.62000274658203,98.97000122070312,68.54000091552734,41.2599983215332,61.83000183105469,65.29000091552734,22.96999931335449,57.25,38.20000076293945
2016-02-18,192.0899963378906,99.94999694824219,77.51000213623047,98.1500015258789,67.97000122070312,41.34999847412109,61.70000076293945,65.30000305175781,22.95000076293945,56.97000122070312,37.95999908447266
2016-02-19,192.0,100.4499969482422,77.3499984741211,98.43000030517578,68.36000061035156,41.38000106811523,61.63999938964844,65.13999938964844,22.95999908447266,56.68000030517578,38.15999984741211
2016-02-22,194.7799987792969,101.5699996948242,78.43000030517578,99.87000274658203,69.38999938964844,41.77999877929688,62.36999893188477,65.91999816894531,23.21999931335449,57.86999893188477,38.56999969482422
2016-02-23,192.3200073242188,100.6399993896484,77.43000030517578,98.7300033569336,69.05000305175781,41.58000183105469,61.68999862670898,65.16000366210938,23.04999923706055,57.06999969482422,38.29999923706055
2016-02-24,193.1999969482422,101.6100006103516,77.66999816894531,99.3499984741211,69.44999694824219,41.77000045776367,62.02000045776367,65.3499984741211,23.15999984741211,57.31999969482422,38.63000106811523
2016-02-25,195.5399932861328,102.5400009155273,78.58999633789062,100.4599990844727,70.5,42.27999877929688,62.68000030517578,66.08000183105469,23.38999938964844,58.02000045776367,39.11999893188477
2016-02-26,195.0899963378906,103.1900024414062,78.4000015258789,100.4300003051758,70.26000213623047,41.95000076293945,62.41999816894531,65.72000122070312,23.29999923706055,58.02999877929688,39.09000015258789
